NVDA	4580.89	262.85	27.73	114.20
META	1567.04	29.73	8.27	21.94
MU	265.52	30.35	7.10	48.85
COIN	79.10	11.67	10.31	111.17
AVGO	1641.70	21.63	27.40	43.99
LRCX	200.15	11.61	10.22	23.68
UBER	191.14	16.48	3.85	17.96
HOOD	115.38	44.00	27.44	58.23
WDC	56.59	9.61	4.71	50.70
PLTR	406.45	73.11	104.32	28.79
GOOG	3375.32	90.02	8.74	13.87
TTD	21.02	33.80	7.53	25.63
ANET	169.24	10.27	20.03	19.50
APH	170.25	8.74	8.12	21.25
KKR	108.09	7.56	6.44	51.09
PGR	127.39	5.25	1.50	21.36
MSFT	3692.87	23.91	12.57	14.93
NEM	91.00	5.31	4.28	57.60
QCOM	183.02	10.58	4.13	13.66
O	52.32	5.95	9.34	29.23
DASH	87.28	9.12	6.91	24.17
FCX	57.16	17.29	2.20	12.10
AMZN	2612.65	46.13	3.78	10.99
CCL	34.96	16.89	1.33	15.88
AMD	379.00	51.60	11.83	13.69
APP	209.51	6.63	37.95	43.44
DOC	12.38	6.93	4.04	23.82
JPM	855.36	7.29	3.08	18.04
SYF	27.76	2.94	1.38	39.38
APA	8.53	6.71	0.88	17.61
BAC	388.49	34.12	2.06	11.94
CMG	41.27	32.75	3.50	14.61
NCLH	8.68	25.55	0.90	10.87
LLY	830.35	3.81	13.97	32.00
CI	70.68	3.02	0.26	26.56
SQ	39.90	21.38	1.66	10.06
SW	18.70	3.82	0.60	86.02
BSX	148.27	5.73	7.66	17.61
ABNB	75.31	11.55	6.31	11.95
IBKR	121.51	3.91	47.18	19.64
STX	59.36	5.00	6.21	38.86
AMCR	19.32	21.73	1.11	10.04
MS	258.04	5.18	2.28	16.83
ACGL	33.43	2.31	1.74	27.35
SLB	54.77	11.07	1.55	9.52
PFE	138.90	111.91	2.21	6.84
FTNT	62.67	7.06	9.56	12.27
FOXA	29.79	3.76	1.81	16.60
C	185.54	12.40	1.10	9.86
PYPL	61.96	13.39	1.89	6.81
AMGN	172.42	2.66	4.79	18.57
NDAQ	50.10	3.43	6.13	22.03
NFLX	467.66	4.35	10.78	15.65
ICE	85.38	3.49	7.11	18.76
BX	175.18	2.96	21.38	52.91
UNH	293.68	9.35	0.67	7.71
WFC	279.77	12.46	2.28	8.72
OKE	42.87	2.19	1.36	22.41
CARR	48.44	4.30	2.20	18.65
WELL	130.57	3.31	13.31	21.23
PANW	142.01	5.05	15.40	14.87
DXCM	21.52	10.45	4.76	11.34
BK	76.46	3.28	1.89	17.05
ORCL	671.20	18.33	11.37	8.38
AAPL	3967.02	45.14	9.53	6.43
CRWD	133.72	2.40	30.80	29.39
DECK	12.26	2.91	2.34	16.28
WDAY	60.12	3.69	6.73	16.94
FSLR	28.72	2.51	5.69	26.75
V	649.61	4.18	16.24	11.34
RTX	236.91	2.50	2.76	17.15
CPRT	39.21	7.48	8.44	9.68
COF	138.48	3.95	2.19	9.00
ISRG	200.05	2.71	20.81	17.24
FI	34.26	14.13	1.62	7.14
ADBE	136.86	4.11	5.90	10.80
F	51.70	71.70	0.27	5.00
HST	12.27	14.67	2.07	7.02
MRK	215.51	7.16	3.36	6.74
BMY	95.05	6.86	1.98	7.32
CRM	229.69	4.85	5.81	8.72
